id,SAT,ACT
468,1130,22
469,1343,26
470,1260,30
471,1200,25
472,1200,25
473,1100,34
474,1090,24
475,900,20
476,1270,32
477,1200,25
478,990,21
479,800,22
480,1517,35
481,940,20
482,1100,23
483,1200,23
484,1330,29
485,1000,21
486,950,28
487,1390,35
488,1598,34
489,1600,36
490,1200,15
491,1500,34
492,1200,28
493,1060,24
494,1170,23
495,800,22
496,1540,32
497,1050,21
498,NA,35
499,1210,26
500,970,15
501,1360,32
502,1150,28
503,990,28
504,960,25
505,700,30
506,1200,28
507,800,20
508,777,22
509,900,20
510,920,18
511,1100,32
512,1450,35
513,1390,30
514,1265,25
515,NA,26
516,1000,21
517,1170,24
518,950,16
519,900,30
520,1200,28
521,1200,34
522,1200,35
523,NA,25
524,1200,34
525,1220,27
526,1380,31
527,1340,27
528,1430,34
529,1370,31
530,1200,27
531,1310,27
532,1442,36
533,1290,30
534,1196,15
535,1280,23
536,1060,26
537,1420,35
538,1440,33
539,1420,34
540,1310,35
541,1210,27
542,1360,31
543,1500,33
544,1350,29
545,1150,21
546,839,19
547,820,25
548,1250,30
549,1050,21
550,990,23
551,1320,32
552,1150,21
553,800,25
554,1110,27
555,1130,29
556,800,20
557,1450,32
558,1210,28
559,1200,32
560,1400,32
561,1540,35
562,910,18
563,1400,32
564,1410,31
565,800,20
566,1550,32
567,1420,33
568,1460,34
569,1370,31
570,1410,30
571,1470,34
572,1390,32
573,1310,28
574,1520,34
575,1400,31
576,1430,29
577,1480,34
578,1360,32
579,1340,31
580,1380,32
581,NA,32
582,1200,27
583,1450,33
584,1340,30
585,1340,27
586,1570,31
587,1480,33
588,1320,31
589,1580,33
590,1000,30
591,1410,32
592,1410,31
593,1380,33
594,1480,35
595,1400,32
596,1410,32
597,1360,33
598,1370,36
599,1180,26
600,1410,34
601,1500,36
602,1400,31
603,1100,30
604,1150,24
605,1270,34
606,1370,34
607,1300,29
608,1200,30
609,1390,31
610,1330,31
611,1080,26
612,1420,32
613,650,30
614,1310,28
615,1230,32
616,1450,32
617,600,25
618,1580,32
619,1300,36
620,1200,25
621,1270,29
622,1200,28
623,1310,32
624,1200,28
625,1440,33
626,1410,35
627,1070,27
628,1260,32
629,1480,35
630,1040,29
631,1184,26
632,1320,31
633,1400,34
634,1000,26
635,1500,35
636,1500,35
637,1200,28
638,1100,27
639,NA,20
640,1430,31
641,1355,34
642,860,22
643,1450,35
644,1390,22
645,1400,22
646,1450,35
647,1520,34
648,1400,32
649,1440,31
650,1080,25
651,1350,32
652,1360,31
653,1000,29
654,900,32
655,1290,27
656,NA,27
657,1430,34
658,600,22
659,1470,36
660,1350,36
661,1400,34
662,1540,33
663,1450,34
664,1040,21
665,1200,28
666,1350,29
667,1240,25
668,1250,31
669,1250,29
670,1240,31
671,1000,22
672,1250,23
673,1420,33
674,NA,36
675,1100,30
676,1350,30
677,1210,36
678,1480,32
679,1440,33
680,1000,28
681,1200,31
682,1060,32
683,1470,34
684,1000,33
685,1520,36
686,980,30
687,1200,30
688,1110,27
689,1320,33
690,1250,32
691,1440,33
692,1210,25
693,1400,26
694,1300,27
695,1390,26
696,1000,30
697,1243,27
698,1330,31
699,1480,32
700,1200,25
